1950,24
1951,26
1952,23
1953,19
1954,21
1955,19
1956,19
1957,30
1958,31
1959,27
1960,30
1961,23
1962,26
1963,25
1964,28
1965,30
1966,26
1967,32
1968,32
1969,32
1970,25
1971,31
1972,30
1973,33
1974,32
1975,37
1976,30
1977,30
1978,36
1979,33
1980,33
1981,38
1982,34
1983,34
1984,38
1985,39
1986,38
1987,36
1988,39
1989,38
1990,38
1991,26
1992,33
1993,32
1994,36
1995,39
1996,33
1997,37
1998,32
1999,33
2000,38
2001,38
2002,35
2003,31
2004,37
2005,36
2006,34
2007,40
2008,39
2009,38
2010,32
2011,37
2012,38
2013,39
2014,40
2015,36
